Glossary
Field	Description
signature	Transaction signature on the Solana blockchain.
action	Event type — one of transfer, create, buy, sell, migrate, createPool, add, remove, claimCashback etc. 1 transaction can produce multiple events
poolId	is the unique pool address. By using it, you can see the pool reserves. Tip 1: You can get the Solana price without any external API. Just check if poolId equals Gf7sXMoP8iRw4iiXmJ1nq4vxcRycbGXy5RL8a8LnTd3v. This is the largest SOL–USDC pool on pump-amm, so you can read the Solana price from it. Tip 2: You can pass this address to the trade API using 'poolId': 'address' to trade a token from a specific pool. This is useful for arbitrage. If you do not pass this parameter, we automatically choose the best pool. This means you can even trade USDC at the best price using our trading API, without visiting any websites.
mint	Token mint address.
quoteMint	The second token used in the trade. For example, in some pools you can buy a token only with USDC, USDT, or another token. Usually, it's the WSOL Address Sol11...2
txSigner	The public key of the account that sent the transaction and paid the priorityFee. Important: if you build a copy trader or something similar, use tradersInvolved, not txSigner. This is because sometimes traders send a transaction where txSigner is a different account, but the trade uses funds from the account you track. In this case, the account you track will be in the tradersInvolved dictionary.
tokenAmount	Amount of mint tokens involved in the transaction. If the transaction contains several trades in this pool, this is their total - see breakdown field for each trade separately.
quoteAmount	The amount of the quoteMint token (usually WSOL or USDC) involved in the transaction. If the transaction contains several trades in this pool, this is their total - see breakdown field for each trade separately.
tokensInPool	Total amount of the main token (mint) currently in the liquidity pool. This shows how many tokens are available for trading on the token side.
quoteInPool	Total amount of the quote token (quoteMint) locked in the liquidity pool. This field is present only when the quote token is NOT SOL (e.g. USDC, USDT). It represents liquidity on the quote side.
vTokensInBondingCurve	Virtual token reserves in the bonding curve pool. Reflects liquidity available on the token side. This field is present only when the pool is pump or raydium-launchpad.
vQuoteInBondingCurve	Virtual Quote reserves in the bonding curve pool. Reflects liquidity available on the Quote side. This field is present only when the pool is pump or raydium-launchpad
virtualQuoteInPool	Present only in pump-amm pools. Shows the amount of virtual liquidity reserved for buybacks during the first 5 minutes after migration. The value is always around 17 SOL.
virtualTokensInPool	Present only in pump-amm pools. The same as virtualQuoteInPool, but for reversed pools, where WSOL or a stablecoin is the base token. You can safely ignore this field — it is always 0.0.
price	Price in quoteMint (usually SOL) including this transaction’s impact.
marketCapQuote	Market capitalization in Quote token (usually Solana, USDC, USDT)
pool	Liquidity source. Before migration, the value is either pump or raydium-launchpad. After migration, pump → pump-amm, raydium-launchpad → raydium-cpmm, meteora-launchpad → meteora-damm-v1/ meteora-damm-v2.
minPrice	Available only in Meteora DAMM V2. Indicates the minimum price configured for the pool.
maxPrice	Available only in Meteora DAMM V2. Indicates the maximum price configured for the pool.
curveType	Present only in Meteora DAMM V1. Indicates the formula used for price calculation. Can be constantProduct (the most common one, based on the quote-reserve/base-reserve ratio) or StableSwap (ideal for stablecoin-to-stablecoin pools, keeping the price close to 1:1 even when reserves differ).
binStep	Present only in Meteora DLMM. The price step between adjacent bins, in basis points (e.g. 400 means each bin is 4% apart, 1 means 0.01%). In DLMM liquidity is not spread along a curve — it sits in discrete price bins, and only the bins near the current price are tradable at any moment. A larger binStep means coarser price granularity and a wider spread. Important: unlike constant-product pools, tokensInPool and quoteInPool here are the totals across all bins, so a DLMM pool can show large reserves while still giving heavy slippage on a small trade — the liquidity may sit in bins far from the current price.
poolFeeRate	Indicates the current fee rate in the pool. Can range from 0 to 1, where 0.1 represents 10% and 0.001 represents 1%.
poolCreatedBy	indicates who created the pool on pump-amm, raydium-cpmm, meteora-damm-v1, or meteora-damm-v2. If the pool was created by migration, the value is pump, raydium-launchpad, or meteora-launchpad. Pools migrated from pump and raydium-launchpad are considered trusted, but pools migrated from meteora-launchpad can be risky because Meteora allows config creators to choose how much liquidity share the pool creator receives after migration. Always check lockedLiquidityAfterMigration before relying on such pools. If the pool was created manually, the value is custom. Be cautious with these pools as well.
lockedLiquidityAfterMigration	Present only in Meteora Launchpad. Shows what percentage of liquidity will be locked after migration. Beware of values below 100%, as the pool or launchpad creator can withdraw the liquidity after the migration (rug pull).
poolFeeRateAfterMigration	Present only in Meteora Launchpad. Indicates what the poolFeeRate will be after migration. Meteora Launchpad allows values up to 0.1 (10%)
migrationThresholds	Present only in Meteora Launchpad and Raydium Launchpad. Indicates the required quoteInPool or tokensInPool value for a migration to occur. Pump.fun always uses a fixed requirement of 85 SOL.
burnedLiquidity	shows what percent of liquidity is burned (for example, "99%"). Liquidity means someone adds Solana (or another quote token) and tokens into the pool. Normally, liquidity providers earn fees from trades and can withdraw their share at any time. If one person owns 100% of the liquidity, they can withdraw 100% and drain the pool, even after others buy the token. Pools with 0% burned liquidity are very risky because the owner can rug pull, and you will not be able to sell the token. Launchpads like pump.fun and partly raydium-launchpad burn the right to withdraw liquidity after migration. So if a pool has 20–30% or more burned liquidity, it is a good sign, because this part will always stay in the pool for trading.
cashbackEnabled	indicates whether you are accumulating cashback for trading in this pool. Such pools exist on pump.fun and pumpswap. To claim your accumulated cashback, call claimCashback
creatorFeeAddress	It shows the address that receives the creator fees on pump.fun and pumpSwap if cashbackEnabled is False. Important: this address can change, since the real token creator has the right to modify it. Often, this address is the same as the one that originally created the token. The value may be None because not all pools have creator fees enabled.
feeMint	Present only for claimCreatorFees events. Shows the token in which the fees were accumulated. For pump.fun, this is always sol. For pump-amm, this is usually wsol, but in rare custom pools it can be another token.
feeAmount	Present only for claimCreatorFees events. Shows the amount of accumulated fees that was claimed.
mayhemMode	Indicates whether “mayhem mode” is active for pump or pump-amm pools. true means mayhem mode is on, false means it’s off. (Other pool types don’t have this field.). Usually, you should avoid mayhemMode == True, because this means that pump.fun’s AI agent receives 1 billion tokens. If it sells before you, you will no longer be able to sell and may encounter a 6024 Overflow error. In such a case, try to sell as much as you can, then call our burn method with 100% to burn all remaining tokens and receive a rent fee refund (0.002 SOL).
launchpadConfig	The address where the settings for the Meteora or Raydium launchpad are stored. Anyone can create their own config on these launchpad.
breakdown	The same event split into individual trades, without aggregation. One transaction can contain several trades in the same pool (for example a bundle, where many wallets buy in one transaction). Top-level tokenAmount and quoteAmount are the sum of all of them, and breakdown shows each one separately: action, trader, tokenAmount, quoteAmount.
mintAuthority	Address that has permission to mint new tokens. This must always be None — otherwise it’s a red flag for a potential scam. Only stablecoins usually have a non-None value. More info
freezeAuthority	Address that can freeze token accounts. This must always be None — a non-None value can indicate a honeypot or scam. Only stablecoins may have this set for regulatory reasons. More info
tokenProgram	Token program used to create the token — either spl-token (legacy) or spl-token-2022 (newer standard). More info
tokenExtensions	Token extensions are only present in spl-token-2022 tokens. Be cautious — some extensions can be used by scammers! (This does not apply to tokens from pump.fun, Bonk, or other trusted launchpads.) Check our guide to learn which extensions are safe.
tradersInvolved	Addresses that actually executed the trade (spent funds). This field is critical for copy trading and analytics. A transaction may be signed and paid for by one address (txSigner), while the trade itself is executed using funds from another address. In such cases, txSigner shows the fee-payer, but tradersInvolved contains the real trader. Always track accounts by tradersInvolved, not txSigner, or you may miss trades. Visualization
programsUsed	Programs the action was called through, for example a router or an aggregator like Jupiter. Each event has its own list. []
addressLookupTables	Address Lookup Tables (ALTs) are used to include more accounts than the transaction limit allows by referencing account indices within the tables. We send a list of the ALTs used.
postBalances	Shows SOL and token balances of accounts involved in the transaction. Includes: the txSigner, all tradersInvolved, and — in the case of SOL transfers — both the sender and the receiver. In the case of token transfers, the SOL balance of the account that received the tokens is not included.
type	Present in certain transfer and claimCreatorFees events. For transfer events, it indicates which method was used to perform the transfer, for example token_account_closure or withdraw_from_nonce. For claimCreatorFees events, it indicates the type of creator fee claim. The value can be social; for default creator fee claims, this field is absent.
isSolana	Only in transfer events. Indicates whether the mint represents Solana. True if the mint is native SOL or WSOL (Wrapped SOL); otherwise False.
priorityFee	Shows how much was paid to send this transaction. Minimum is 0.000005 SOL (base network fee) plus an additional tip to increase the likelihood that a validator includes the transaction.
block	Block number in which the transaction was included. New blocks are produced every 400 ms
timestamp	Blockchain timestamp of transaction.
